E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=200 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=50 um),P(x) (d=100 um)
2.08E+00,2.04E+03,2.6941E+00,5.4838E+03,2.0000E-02,2.3333E-48,3.5641E-72,5.4442E-96,8.3160E-120,1.2359E-12,1.5275E-24
2.22E+00,1.71E+03,,4.5961E+03,3.0000E-02,1.1981E-40,1.3114E-60,1.4354E-80,1.5711E-100,1.0462E-10,1.0946E-20
2.38E+00,1.43E+03,,3.8582E+03,4.0000E-02,3.0755E-34,5.3936E-51,9.4590E-68,1.6588E-84,4.1877E-09,1.7537E-17
2.54E+00,1.20E+03,,3.2426E+03,5.0000E-02,6.8387E-29,5.6553E-43,4.6767E-57,3.8675E-71,9.0937E-08,8.2696E-15
2.72E+00,1.01E+03,,2.7248E+03,5.0000E-03,2.1507E-24,3.1540E-36,4.6255E-48,6.7833E-60,1.2110E-06,1.4665E-12
2.90E+00,8.49E+02,,2.2882E+03,1.0000E-02,1.3339E-20,1.5406E-30,1.7793E-40,2.0550E-50,1.0747E-05,1.1549E-10
3.11E+00,7.11E+02,,1.9146E+03,,2.3422E-17,1.1335E-25,5.4859E-34,2.6549E-42,6.9567E-05,4.8396E-09
3.32E+00,5.89E+02,,1.5873E+03,,1.6323E-14,2.0855E-21,2.6644E-28,3.4041E-35,3.5744E-04,1.2776E-07
3.55E+00,4.88E+02,,1.3154E+03,,3.7532E-12,7.2710E-18,1.4086E-23,2.7289E-29,1.3919E-03,1.9373E-06
3.79E+00,4.05E+02,,1.0902E+03,,3.3902E-10,6.2422E-15,1.1493E-19,2.1162E-24,4.2910E-03,1.8412E-05
4.06E+00,3.35E+02,,9.0368E+02,,1.4149E-08,1.6830E-12,2.0019E-16,2.3812E-20,1.0906E-02,1.1895E-04
4.33E+00,2.78E+02,,7.4915E+02,,3.1116E-07,1.7357E-10,9.6819E-14,5.4007E-17,2.3618E-02,5.5781E-04
4.63E+00,2.31E+02,,6.2112E+02,,4.0270E-06,8.0811E-09,1.6217E-11,3.2542E-14,4.4797E-02,2.0067E-03
4.95E+00,1.91E+02,,5.1506E+02,,3.3594E-05,1.9471E-07,1.1286E-09,6.5412E-12,7.6132E-02,5.7960E-03
5.30E+00,1.59E+02,,4.2715E+02,,1.9491E-04,2.7211E-06,3.7989E-08,5.3035E-10,1.1816E-01,1.3961E-02
