E (keV),linear attenuation coeff,P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um)
2,16100,1.0649E-70,1.0989E-105,1.134E-140,1.1702E-175,1.2075E-210
2.01,15900,6.1029E-70,1.5076E-104,3.7245E-139,9.2009E-174,2.273E-208
2.02,15800,3.4167E-69,1.9971E-103,1.1674E-137,6.8236E-172,3.9886E-206
2.03,15600,1.9165E-68,2.6531E-102,3.6729E-136,5.0846E-170,7.0389E-204
2.04,15400,1.0447E-67,3.3765E-101,1.0913E-134,3.5273E-168,1.1401E-201
2.05,15300,5.648E-67,4.2446E-100,3.19E-133,2.3974E-166,1.8017E-199
2.06,15100,3.0093E-66,5.2204E-99,9.056E-132,1.571E-164,2.7253E-197
2.07,14900,1.5843E-65,6.3059E-98,2.5099E-130,9.9904E-163,3.9765E-195
2.08,14800,6.8089E-65,5.6184E-97,4.6361E-129,3.8255E-161,3.1567E-193
2.08,14800,8.1477E-65,7.3544E-97,6.6384E-129,5.9921E-161,5.4088E-193
2.09,14600,3.8584E-64,7.5789E-96,1.4887E-127,2.9242E-159,5.744E-191
2.1,14400,1.8023E-63,7.6514E-95,3.2483E-126,1.379E-157,5.8543E-189
2.11,14300,8.315E-63,7.5822E-94,6.9139E-125,6.3046E-156,5.7489E-187
2.12,14100,3.7893E-62,7.3762E-93,1.4359E-123,2.7951E-154,5.4409E-185
2.13,14000,1.7033E-61,7.0299E-92,2.9014E-122,1.1974E-152,4.942E-183
2.15,13800,7.5632E-61,6.5774E-91,5.7202E-121,4.9746E-151,4.3263E-181
2.16,13700,3.3125E-60,6.0289E-90,1.0973E-119,1.9971E-149,3.6347E-179
2.17,13500,1.4348E-59,5.4348E-89,2.0586E-118,7.7978E-148,2.9537E-177
2.18,13400,6.1467E-59,4.8191E-88,3.7782E-117,2.9622E-146,2.3224E-175
2.19,13300,2.6372E-58,4.2828E-87,6.9551E-116,1.1295E-144,1.8342E-173
2.2,13100,1.1276E-57,3.7862E-86,1.2714E-114,4.2692E-143,1.4335E-171
2.21,13000,2.4125E-57,1.1849E-85,5.82E-114,2.8586E-142,1.4041E-170
2.21,34100,1.2109E-148,1.3325E-222,1.4664E-296,0,0
2.21,33900,5.5058E-148,1.2919E-221,3.0313E-295,0,0
2.22,33500,3.4385E-146,6.376E-219,1.1823E-291,0,0
2.22,33400,1.0055E-145,3.1882E-218,1.0109E-290,0,0
2.23,33100,1.9222E-144,2.6649E-216,3.6947E-288,0,0
2.24,32700,1.0177E-142,1.0267E-213,1.0358E-284,0,0
2.25,32300,5.195E-141,3.7444E-211,2.6988E-281,0,0
2.27,31900,2.4929E-139,1.2446E-208,6.2143E-278,0,0
2.28,31500,1.1532E-137,3.9162E-206,1.3299E-274,0,0
2.29,31200,5.0793E-136,1.1447E-203,2.5799E-271,0,0
2.29,31100,8.6078E-136,2.5255E-203,7.4095E-271,0,0
