E (keV),a (cm^2/g),P(xi) (d=300 um),P(xi) (d=500 um),P(xi) (d=1000 um),P(xi) d=(2000 um),P(xi) d=(3000 um)
2.08,60.4,0.03523,0.0037861,0.000014335,2.0548E-10,2.9454E-15
2.22,49.2,0.06579,0.010722,0.00011496,1.3215E-08,1.5192E-12
2.38,40,0.10932,0.024993,0.00062464,3.9017E-07,2.4372E-10
2.54,32.5,0.16511,0.049692,0.0024693,6.0975E-06,1.5057E-08
2.72,26.5,0.23081,0.086847,0.0075424,0.000056887,4.2906E-07
2.9,21.6,0.30297,0.13667,0.018678,0.00034887,6.5163E-06
3.11,17.5,0.37923,0.19868,0.039476,0.0015583,0.000061516
3.32,14.2,0.45598,0.27013,0.072972,0.0053248,0.00038856
3.55,11.5,0.52907,0.34609,0.11978,0.014347,0.0017184
3.79,9.33,0.59656,0.42276,0.17873,0.031943,0.005709
4.06,7.58,0.65731,0.49691,0.24692,0.060971,0.015055
4.33,6.17,0.71083,0.56617,0.32055,0.10275,0.032937
4.63,5.02,0.75722,0.62908,0.39574,0.15661,0.061976
4.95,4.1,0.79689,0.68496,0.46917,0.22012,0.10327
5.3,3.36,0.83045,0.73371,0.53833,0.2898,0.15601
5.66,2.75,0.85862,0.77565,0.60163,0.36196,0.21776
6.05,2.27,0.88208,0.8113,0.65821,0.43325,0.28517
6.47,1.87,0.90154,0.84134,0.70786,0.50106,0.35468
6.92,1.55,0.9176,0.86647,0.75077,0.56365,0.42317
7.39,1.3,0.93082,0.88738,0.78744,0.62007,0.48827
7.9,1.09,0.94167,0.90469,0.81846,0.66988,0.54827
8.45,0.916,0.95057,0.91897,0.84451,0.7132,0.60231
9.03,0.777,0.95788,0.9308,0.86638,0.75062,0.65032
9.65,0.663,0.96397,0.94067,0.88486,0.78297,0.69282
10.3,0.571,0.96892,0.94873,0.90009,0.81016,0.72922
11,0.496,0.97294,0.95531,0.91261,0.83286,0.76008
11.8,0.435,0.97622,0.96068,0.9229,0.85174,0.78607
12.6,0.386,0.97888,0.96505,0.93133,0.86738,0.80781
13.5,0.345,0.98106,0.96863,0.93825,0.88031,0.82594
14.4,0.313,0.98284,0.97156,0.94392,0.89099,0.84102
15.4,0.286,0.98429,0.97395,0.94858,0.89981,0.85354
16.5,0.264,0.98548,0.97592,0.95242,0.90709,0.86393
17.6,0.246,0.98646,0.97753,0.95557,0.91312,0.87255
18.8,0.232,0.98727,0.97887,0.95819,0.91812,0.87973
20.1,0.219,0.98794,0.97998,0.96035,0.92228,0.88571
21.5,0.209,0.98849,0.9809,0.96216,0.92574,0.89071
23,0.201,0.98896,0.98167,0.96367,0.92866,0.89491
24.6,0.193,0.98935,0.98232,0.96494,0.93112,0.89847
26.3,0.187,0.98968,0.98286,0.96602,0.9332,0.90149
28.1,0.182,0.98997,0.98334,0.96695,0.935,0.9041
30,0.178,0.99022,0.98375,0.96776,0.93656,0.90637
32.1,0.174,0.99043,0.9841,0.96846,0.93792,0.90834
34.3,0.17,0.99062,0.98442,0.96909,0.93913,0.9101
36.7,0.167,0.99079,0.98471,0.96964,0.94021,0.91167
39.2,0.164,0.99095,0.98496,0.97015,0.9412,0.9131
41.9,0.162,0.99109,0.9852,0.97062,0.9421,0.91442
44.8,0.159,0.99123,0.98542,0.97106,0.94295,0.91566
47.9,0.157,0.99136,0.98563,0.97147,0.94376,0.91684
51.2,0.155,0.99148,0.98584,0.97187,0.94454,0.91797
54.7,0.152,0.9916,0.98603,0.97226,0.94529,0.91907
58.5,0.15,0.99171,0.98623,0.97264,0.94603,0.92014
62.5,0.148,0.99183,0.98641,0.97301,0.94675,0.9212
66.8,0.146,0.99194,0.9866,0.97339,0.94749,0.92227
71.5,0.144,0.99205,0.98679,0.97376,0.94821,0.92332
76.4,0.142,0.99217,0.98698,0.97413,0.94894,0.92439
81.7,0.14,0.99228,0.98717,0.97451,0.94967,0.92547
87.3,0.138,0.9924,0.98737,0.97489,0.95042,0.92655
93.3,0.136,0.99252,0.98756,0.97528,0.95117,0.92766
99.8,0.134,0.99264,0.98776,0.97567,0.95193,0.92877
107,0.131,0.99276,0.98796,0.97606,0.9527,0.9299
114,0.129,0.99288,0.98816,0.97647,0.95349,0.93105
122,0.127,0.993,0.98837,0.97687,0.95428,0.93221
130,0.125,0.99313,0.98858,0.97728,0.95508,0.93338
139,0.122,0.99326,0.98878,0.9777,0.95589,0.93457
149,0.12,0.99338,0.989,0.97811,0.95671,0.93577
159,0.118,0.99351,0.98921,0.97854,0.95753,0.93698
170,0.115,0.99364,0.98942,0.97896,0.95836,0.9382
182,0.113,0.99377,0.98964,0.97939,0.9592,0.93943
194,0.111,0.9939,0.98986,0.97982,0.96005,0.94067
208,0.108,0.99403,0.99008,0.98025,0.96089,0.94191
222,0.106,0.99417,0.99029,0.98068,0.96174,0.94316
237,0.103,0.9943,0.99051,0.98112,0.96259,0.94441
254,0.101,0.99443,0.99073,0.98155,0.96344,0.94566
271,0.0986,0.99456,0.99095,0.98198,0.96429,0.94691
290,0.0962,0.99469,0.99117,0.98241,0.96514,0.94816
310,0.0938,0.99482,0.99138,0.98284,0.96598,0.94941
332,0.0914,0.99495,0.9916,0.98327,0.96682,0.95065
354,0.0891,0.99508,0.99181,0.9837,0.96766,0.95188
379,0.0868,0.99521,0.99203,0.98412,0.96849,0.9531
405,0.0845,0.99534,0.99224,0.98454,0.96931,0.95432
433,0.0822,0.99546,0.99245,0.98495,0.97013,0.95552
