E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=200 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (500 um),P(xi) (d=1000 um)
2.08E+00,2.48E+02,2.26,5.59E+02,2.0000E-02,0.00001384060354,5.1491E-08,1.9156E-10,7.1267E-13,5.0790E-25
2.22E+00,2.04E+02,,4.60E+02,3.0000E-02,0.0001001293207,1.0019E-06,1.0026E-08,1.0032E-10,1.0065E-20
2.38E+00,1.68E+02,,3.79E+02,4.0000E-02,0.0005098489768,1.1512E-05,2.5995E-07,5.8695E-09,3.4451E-17
2.54E+00,1.38E+02,,3.12E+02,5.0000E-02,0.001946605875,8.5885E-05,3.7893E-06,1.6718E-07,2.7951E-14
2.72E+00,1.14E+02,,2.57E+02,1.0000E-01,0.00585949416,4.4853E-04,3.4334E-05,2.6282E-06,6.9072E-12
2.90E+00,9.36E+01,,2.12E+02,,0.01451171246,1.7481E-03,2.1059E-04,2.5369E-05,6.4357E-10
3.11E+00,7.67E+01,,1.73E+02,,0.03116053776,5.5006E-03,9.7098E-04,1.7140E-04,2.9378E-08
3.32E+00,6.26E+01,,1.41E+02,,0.0590465242,1.4348E-02,3.4865E-03,8.4720E-04,7.1775E-07
3.55E+00,5.11E+01,,1.15E+02,,0.09940130864,3.1339E-02,9.8806E-03,3.1152E-03,9.7042E-06
3.79E+00,4.17E+01,,9.42E+01,,0.1519494772,5.9231E-02,2.3089E-02,9.0001E-03,8.1002E-05
4.06E+00,3.40E+01,,7.69E+01,,0.2147282508,9.9502E-02,4.6108E-02,2.1366E-02,4.5651E-04
4.33E+00,2.78E+01,,6.28E+01,,0.2846443422,1.5186E-01,8.1022E-02,4.3227E-02,1.8686E-03
4.63E+00,2.27E+01,,5.13E+01,,0.3581482042,2.1434E-01,1.2827E-01,7.6764E-02,5.8927E-03
4.95E+00,1.86E+01,,4.20E+01,,0.4319070828,2.8385E-01,1.8654E-01,1.2260E-01,1.5030E-02
5.30E+00,1.52E+01,,3.43E+01,,0.5031311537,3.5688E-01,2.5314E-01,1.7956E-01,3.2241E-02
5.66E+00,1.24E+01,,2.80E+01,,0.5713479988,4.3187E-01,3.2644E-01,2.4675E-01,6.0884E-02
6.05E+00,1.01E+01,,2.28E+01,,0.6335988839,5.0434E-01,4.0145E-01,3.1955E-01,1.0211E-01
6.47E+00,8.24E+00,,1.86E+01,,0.6890361376,5.7196E-01,4.7477E-01,3.9410E-01,1.5531E-01
6.92E+00,6.73E+00,,1.52E+01,,0.7375562223,6.3342E-01,5.4399E-01,4.6718E-01,2.1826E-01
7.39E+00,5.51E+00,,1.25E+01,,0.7794337379,6.8813E-01,6.0752E-01,5.3635E-01,2.8767E-01
7.90E+00,4.52E+00,,1.02E+01,,0.8151702923,7.3599E-01,6.6450E-01,5.9996E-01,3.5995E-01
8.45E+00,3.72E+00,,8.40E+00,,0.8453811231,7.7728E-01,7.1467E-01,6.5710E-01,4.3178E-01
9.03E+00,3.06E+00,,6.91E+00,,0.8708899318,8.1273E-01,7.5845E-01,7.0780E-01,5.0098E-01
9.65E+00,2.51E+00,,5.68E+00,,0.8925775842,8.4327E-01,7.9669E-01,7.5269E-01,5.6654E-01
1.03E+01,2.07E+00,,4.69E+00,,0.9104904032,8.6879E-01,8.2899E-01,7.9102E-01,6.2572E-01
1.10E+01,1.72E+00,,3.89E+00,,0.9252263395,8.8996E-01,8.5604E-01,8.2342E-01,6.7802E-01
1.18E+01,1.43E+00,,3.24E+00,,0.9373238801,9.0747E-01,8.7858E-01,8.5060E-01,7.2352E-01
1.26E+01,1.20E+00,,2.71E+00,,0.9472261571,9.2189E-01,8.9724E-01,8.7324E-01,7.6255E-01
1.35E+01,1.01E+00,,2.29E+00,,0.9553225565,9.3374E-01,9.1264E-01,8.9202E-01,7.9570E-01
1.44E+01,8.59E-01,,1.94E+00,,0.9619342556,9.4345E-01,9.2532E-01,9.0754E-01,8.2362E-01
1.54E+01,7.35E-01,,1.66E+00,,0.9673303483,9.5140E-01,9.3573E-01,9.2032E-01,8.4698E-01
