E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=1000 um),P(xi) (d=2000 um),P(xi) (d=3000 um)
4.00E-02,8.03E+04,8.63,6.9287E+05,0.1,0.0000E+00,0.0000E+00,0.0000E+00
4.06E-02,7.79E+04,,6.7185E+05,0.2,0.0000E+00,0.0000E+00,0.0000E+00
4.34E-02,7.22E+04,,6.2334E+05,0.3,0.0000E+00,0.0000E+00,0.0000E+00
4.64E-02,8.66E+04,,7.4739E+05,,0.0000E+00,0.0000E+00,0.0000E+00
4.96E-02,1.26E+05,,1.0913E+06,,0.0000E+00,0.0000E+00,0.0000E+00
5.30E-02,1.72E+05,,1.4875E+06,,0.0000E+00,0.0000E+00,0.0000E+00
5.67E-02,1.94E+05,,1.6727E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.06E-02,1.80E+05,,1.5530E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.48E-02,1.43E+05,,1.2381E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.56E-02,1.36E+05,,1.1752E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.66E-02,1.27E+05,,1.0960E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.68E-02,1.25E+05,,1.0749E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.72E-02,1.30E+05,,1.1203E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.82E-02,1.20E+05,,1.0352E+06,,0.0000E+00,0.0000E+00,0.0000E+00
6.92E-02,1.10E+05,,9.5129E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.40E-02,7.40E+04,,6.3822E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.91E-02,4.84E+04,,4.1791E+05,,0.0000E+00,0.0000E+00,0.0000E+00
8.46E-02,3.19E+04,,2.7508E+05,,0.0000E+00,0.0000E+00,0.0000E+00
9.04E-02,2.15E+04,,1.8570E+05,,0.0000E+00,0.0000E+00,0.0000E+00
9.67E-02,1.51E+04,,1.3022E+05,,0.0000E+00,0.0000E+00,0.0000E+00
1.03E-01,1.11E+04,,9.5379E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.05E-01,1.02E+04,,8.8044E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.07E-01,9.57E+03,,8.2604E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.07E-01,9.41E+03,,8.1175E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.08E-01,9.51E+03,,8.2087E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.08E-01,9.55E+03,,8.2421E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.10E-01,9.08E+03,,7.8331E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.10E-01,9.05E+03,,7.8067E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.10E-01,8.95E+03,,7.7216E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.10E-01,1.06E+04,,9.1902E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.11E-01,1.06E+04,,9.1154E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.12E-01,1.01E+04,,8.7138E+04,,0.0000E+00,0.0000E+00,0.0000E+00
