E (keV),a (cm^2/g),rho (g/cm^3),d (cm),P(xi) d=1800um,P(xi) d=1900um,P(xi) d=2200um,P(xi) d=2800um,P(xi) d=3000um,P(xi) d=4300um,P(xi) d=4600um,P(xi) d=4900um
2.08E+00,1.88E+03,8.94,0.18,3.71E-219,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
2.22E+00,1.58E+03,,0.19,6.87E-185,1.15E-307,0.00E+00,0.00E+00,0.00E+00,,,
2.38E+00,1.33E+03,,0.22,1.35E-155,7.68E-259,0.00E+00,0.00E+00,0.00E+00,,,
2.54E+00,1.12E+03,,0.28,5.10E-131,7.02E-218,0.00E+00,0.00E+00,0.00E+00,,,
2.72E+00,9.42E+02,,0.3,2.01E-110,1.49E-183,0.00E+00,0.00E+00,0.00E+00,,,
2.90E+00,7.94E+02,,0.43,3.60E-93,8.45E-155,0.00E+00,0.00E+00,0.00E+00,,,
3.11E+00,6.65E+02,,0.46,3.13E-78,6.70E-130,4.49E-259,0.00E+00,0.00E+00,,,
3.32E+00,5.55E+02,,0.49,2.14E-65,1.65E-108,2.72E-216,0.00E+00,0.00E+00,,,
3.55E+00,4.64E+02,,,9.65E-55,9.43E-91,8.88E-181,0.00E+00,0.00E+00,,,
3.79E+00,3.87E+02,,,7.90E-46,6.75E-76,4.55E-151,2.07E-301,0.00E+00,,,
4.06E+00,3.22E+02,,,3.27E-38,3.34E-63,1.11E-125,1.24E-250,0.00E+00,,,
4.33E+00,2.68E+02,,,6.33E-32,1.01E-52,1.01E-104,1.02E-208,1.0334E-312,,,
4.63E+00,2.23E+02,,,9.92E-27,4.58E-44,2.09E-87,4.39E-174,9.19E-261,,,
4.95E+00,1.86E+02,,,2.31E-22,8.72E-37,7.60E-73,5.78E-145,4.39E-217,,,
5.30E+00,1.54E+02,,,1.03E-18,1.04E-30,1.09E-60,1.19E-120,1.29E-180,,,
5.66E+00,1.29E+02,,,1.06E-15,1.11E-25,1.23E-50,1.51E-100,1.85E-150,,,
6.05E+00,1.07E+02,,,3.32E-13,1.59E-21,2.52E-42,6.37E-84,1.61E-125,,,
6.47E+00,8.94E+01,,,3.86E-11,4.41E-18,1.94E-35,3.77E-70,7.31E-105,,,
6.92E+00,7.47E+01,,,1.99E-09,3.15E-15,9.92E-30,9.85E-59,9.77E-88,,,
7.39E+00,6.25E+01,,,5.25E-08,7.37E-13,5.43E-25,2.95E-49,1.60E-73,,,
7.90E+00,5.24E+01,,,7.97E-07,6.86E-11,4.70E-21,2.21E-41,1.04E-61,,,
8.45E+00,4.39E+01,,,7.66E-06,2.98E-09,8.87E-18,7.87E-35,6.98E-52,,,
8.80E+00,3.95E+01,,,2.52E-05,2.17E-08,4.71E-16,2.22E-31,1.05E-46,,,
8.93E+00,3.79E+01,,,3.85E-05,4.38E-08,1.92E-15,3.68E-30,7.06E-45,,,
8.97E+00,3.75E+01,,,4.32E-05,5.32E-08,2.83E-15,7.99E-30,2.26E-44,,,
9.03E+00,2.85E+02,,,6.94E-34,5.43E-56,2.95E-111,8.72E-222,0.00E+00,,,
9.16E+00,2.73E+02,,,1.52E-32,9.28E-54,8.62E-107,7.42E-213,6.3974E-319,,,
9.65E+00,2.35E+02,,,3.97E-28,2.14E-46,4.59E-92,2.11E-183,9.68E-275,,,
1.03E+01,1.97E+02,,,1.05E-23,5.04E-39,2.54E-77,6.43E-154,1.63E-230,,,
1.10E+01,1.66E+02,,,4.29E-20,5.25E-33,2.76E-65,7.59E-130,2.09E-194,,,
1.18E+01,1.40E+02,,,4.64E-17,5.99E-28,3.58E-55,1.28E-109,4.60E-164,,,
1.26E+01,1.17E+02,,,2.07E-14,1.56E-23,2.44E-46,5.95E-92,1.45E-137,,,
1.35E+01,9.83E+01,,,3.57E-12,8.34E-20,6.95E-39,4.83E-77,3.35E-115,,,
1.44E+01,8.21E+01,,,2.73E-10,1.15E-16,1.31E-32,1.72E-64,2.26E-96,,,
1.54E+01,6.86E+01,,,1.04E-08,4.92E-14,2.42E-27,5.85E-54,1.42E-80,,,
1.65E+01,5.72E+01,,,2.17E-07,7.83E-12,6.13E-23,3.75E-45,2.30E-67,,,
1.76E+01,4.77E+01,,,2.74E-06,5.38E-10,2.89E-19,8.36E-38,2.42E-56,,,
1.88E+01,3.97E+01,,,2.37E-05,1.95E-08,3.80E-16,1.44E-31,5.49E-47,,,
2.01E+01,3.30E+01,,,1.43E-04,3.93E-07,1.55E-13,2.39E-26,3.70E-39,,,
2.15E+01,2.74E+01,,,6.40E-04,4.75E-06,2.26E-11,5.09E-22,1.15E-32,,,
2.30E+01,2.28E+01,,,2.21E-03,3.75E-05,1.41E-09,1.98E-18,2.80E-27,,,
2.46E+01,1.90E+01,,,6.20E-03,2.09E-04,4.38E-08,1.92E-15,8.42E-23,,,
2.63E+01,1.58E+01,,,1.46E-02,8.72E-04,7.61E-07,5.79E-13,4.41E-19,,,
2.81E+01,1.31E+01,,,3.02E-02,2.93E-03,8.56E-06,7.33E-11,6.27E-16,,,
3.00E+01,1.08E+01,,,5.52E-02,8.00E-03,6.40E-05,4.10E-09,2.63E-13,,,
3.21E+01,8.95E+00,,,9.08E-02,1.83E-02,3.37E-04,1.13E-07,3.81E-11,,,
3.43E+01,7.41E+00,,,1.37E-01,3.64E-02,1.32E-03,1.75E-06,2.32E-09,,,
3.67E+01,6.15E+00,,,1.92E-01,6.40E-02,4.09E-03,1.68E-05,6.86E-08,,,
3.92E+01,5.10E+00,,,2.54E-01,1.02E-01,1.04E-02,1.09E-04,1.13E-06,,,
4.19E+01,4.22E+00,,,3.22E-01,1.52E-01,2.30E-02,5.27E-04,1.21E-05,,,
4.48E+01,3.50E+00,,,3.91E-01,2.09E-01,4.39E-02,1.93E-03,8.45E-05,,,
4.79E+01,2.90E+00,,,4.59E-01,2.73E-01,7.47E-02,5.58E-03,4.17E-04,,,
