E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (100 um),P(xi) (200 um),P(xi) (300 um),P(xi) (400 um),P(xi) (500 um),P(xi) (1000 um)
2.08E+00,2.54E+03,2.3200E+00,5.8993E+03,1.00E-02,2.3971E-26,5.7460E-52,1.3774E-77,3.3017E-103,7.9143E-129,6.2637E-257
2.22E+00,2.13E+03,,4.9453E+03,2.0000E-02,3.3326E-22,1.1106E-43,3.7013E-65,1.2335E-86,4.1107E-108,1.6898E-215
2.38E+00,1.78E+03,,4.1308E+03,3.0000E-02,1.1490E-18,1.3203E-36,1.5171E-54,1.7432E-72,2.0030E-90,4.0121E-180
2.54E+00,1.49E+03,,3.4679E+03,4.0000E-02,8.6885E-16,7.5490E-31,6.5590E-46,5.6988E-61,4.9514E-76,2.4516E-151
2.72E+00,1.26E+03,,2.9162E+03,5.0000E-02,2.1624E-13,4.6759E-26,1.0111E-38,2.1864E-51,4.7277E-64,2.2351E-127
2.90E+00,1.06E+03,,2.4527E+03,1.0000E-01,2.2287E-11,4.9669E-22,1.1069E-32,2.4670E-43,5.4981E-54,3.0229E-107
3.11E+00,8.86E+02,,2.0554E+03,,1.1849E-09,1.4041E-18,1.6637E-27,1.9714E-36,2.3360E-45,5.4570E-90
3.32E+00,7.40E+02,,1.7175E+03,,3.4738E-08,1.2067E-15,4.1920E-23,1.4562E-30,5.0587E-38,2.5591E-75
3.55E+00,6.19E+02,,1.4354E+03,,5.8345E-07,3.4042E-13,1.9862E-19,1.1588E-25,6.7612E-32,4.5714E-63
3.79E+00,5.15E+02,,1.1949E+03,,6.4647E-06,4.1792E-11,2.7017E-16,1.7466E-21,1.1291E-26,1.2748E-52
4.06E+00,4.27E+02,,9.9011E+02,,5.0121E-05,2.5121E-09,1.2591E-13,6.3109E-18,3.1631E-22,1.0005E-43
4.33E+00,3.54E+02,,8.2049E+02,,2.7331E-04,7.4697E-08,2.0415E-11,5.5797E-15,1.5250E-18,2.3255E-36
4.63E+00,2.93E+02,,6.8002E+02,,1.1136E-03,1.2401E-06,1.3810E-09,1.5379E-12,1.7126E-15,2.9330E-30
4.95E+00,2.43E+02,,5.6369E+02,,3.5639E-03,1.2701E-05,4.5266E-08,1.6132E-10,5.7493E-13,3.3055E-25
5.30E+00,2.01E+02,,4.6729E+02,,9.3447E-03,8.7324E-05,8.1602E-07,7.6254E-09,7.1258E-11,5.0776E-21
5.66E+00,1.67E+02,,3.8744E+02,,2.0767E-02,4.3126E-04,8.9559E-06,1.8598E-07,3.8623E-09,1.4917E-17
6.05E+00,1.38E+02,,3.2127E+02,,4.0246E-02,1.6198E-03,6.5190E-05,2.6237E-06,1.0559E-07,1.1150E-14
6.47E+00,1.15E+02,,2.6648E+02,,6.9617E-02,4.8465E-03,3.3740E-04,2.3488E-05,1.6352E-06,2.6738E-12
6.92E+00,9.53E+01,,2.2105E+02,,1.0965E-01,1.2022E-02,1.3182E-03,1.4454E-04,1.5848E-05,2.5115E-10
7.39E+00,7.91E+01,,1.8341E+02,,1.5976E-01,2.5524E-02,4.0777E-03,6.5145E-04,1.0408E-04,1.0832E-08
7.90E+00,6.56E+01,,1.5221E+02,,2.1826E-01,4.7636E-02,1.0397E-02,2.2692E-03,4.9527E-04,2.4529E-07
8.45E+00,5.42E+01,,1.2565E+02,,2.8465E-01,8.1023E-02,2.3063E-02,6.5647E-03,1.8686E-03,3.4917E-06
9.03E+00,4.46E+01,,1.0350E+02,,3.5522E-01,1.2618E-01,4.4822E-02,1.5921E-02,5.6556E-03,3.1986E-05
9.65E+00,3.65E+01,,8.4770E+01,,4.2840E-01,1.8352E-01,7.8621E-02,3.3681E-02,1.4429E-02,2.0819E-04
