E (keV),a (cm^2/g),rho (g/cm^3),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=600 um),P(xi) (d=700 um),P(xi) (d=800 um),P(xi) (d=900 um),P(xi) (d=1000 um),P(xi) (d=1500 um),P(xi) (d=2000 um),P(xi) (d=2500 um),P(xi) (d=3000 um),P(xi) (d=3500 um),P(xi) (d=4000 um),P(xi) (d=4500 um),P(xi) (d=5000 um),P(xi) (d=6000 um),P(xi) (d=7000 um),P(xi) (d=8000 um),P(xi) (d=9000 um),P(xi) (d=10000 um)
2.08E+00,1.37E+03,8.03,1.67E-48,2.16E-72,2.79E-96,3.61E-120,4.66E-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22E+00,1.15E+03,,5.88E-41,4.51E-61,3.46E-81,2.65E-101,2.03E-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38E+00,9.72E+02,,1.31E-34,1.51E-51,1.72E-68,1.98E-85,2.27E-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54E+00,8.18E+02,,2.89E-29,1.56E-43,8.37E-58,4.50E-72,2.42E-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.72E+00,6.90E+02,,8.79E-25,8.24E-37,7.73E-49,7.25E-61,6.79E-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.90E+00,5.81E+02,,5.45E-21,4.02E-31,2.97E-41,2.19E-51,1.62E-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.11E+00,4.85E+02,,1.23E-17,4.31E-26,1.51E-34,5.30E-43,1.86E-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.32E+00,4.02E+02,,9.25E-15,8.90E-22,8.56E-29,8.24E-36,7.92E-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.55E+00,3.33E+02,,2.35E-12,3.61E-18,5.53E-24,8.49E-30,1.30E-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79E+00,2.76E+02,,2.34E-10,3.57E-15,5.46E-20,8.34E-25,1.28E-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.06E+00,2.29E+02,,1.03E-08,1.05E-12,1.06E-16,1.08E-20,1.09E-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
