E (keV),a (cm^2/g),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=600 um),P(xi) (d=700 um),P(xi) (d=800 um),P(xi) (d=900 um),P(xi) (d=1000 um),P(xi) (d=1500 um),P(xi) (d=2000 um),P(xi) (d=2500 um),P(xi) (d=3000 um),P(xi) (d=3500 um),P(xi) (d=4000 um),P(xi) (d=4500 um),P(xi) (d=5000 um),P(xi) (d=6000 um),P(xi) (d=7000 um),P(xi) (d=8000 um),P(xi) (d=9000 um),P(xi) (d=10000 um)
2.08E+000,8.41E+002,2.83E-017,1.51E-025,8.03E-034,4.28E-042,2.28E-050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22E+000,7.06E+002,1.30E-014,1.49E-021,1.70E-028,1.93E-035,2.21E-042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38E+000,5.91E+002,2.39E-012,3.70E-018,5.71E-024,8.83E-030,1.37E-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54E+000,4.94E+002,1.87E-010,2.56E-015,3.51E-020,4.80E-025,6.57E-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.72E+000,4.14E+002,7.07E-009,5.95E-013,5.00E-017,4.20E-021,3.53E-025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.90E+000,3.47E+002,1.46E-007,5.57E-011,2.12E-014,8.11E-018,3.10E-021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.11E+000,2.89E+002,2.06E-006,2.96E-009,4.25E-012,6.11E-015,8.77E-018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.32E+000,2.38E+002,2.04E-005,9.18E-008,4.14E-010,1.87E-012,8.43E-015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.55E+000,1.97E+002,1.33E-004,1.53E-006,1.77E-008,2.04E-010,2.35E-012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79E+000,1.63E+002,6.22E-004,1.55E-005,3.87E-007,9.64E-009,2.40E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.06E+000,1.35E+002,2.21E-003,1.04E-004,4.88E-006,2.29E-007,1.08E-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.33E+000,1.12E+002,6.27E-003,4.97E-004,3.93E-005,3.11E-006,2.47E-007,1.546684855E-009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.63E+000,9.30E+001,1.48E-002,1.80E-003,2.20E-004,2.67E-005,3.26E-006,4.824035141E-008,7.149292709E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.87E+000,8.12E+001,2.53E-002,4.02E-003,6.40E-004,1.02E-004,1.62E-005,4.097815599E-007,1.036789318E-008,2.623183168E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.94E+000,7.78E+001,2.94E-002,5.05E-003,8.66E-004,1.48E-004,2.55E-005,7.492106884E-007,0.000000022,6.484939769E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.95E+000,7.73E+001,3.01E-002,5.23E-003,9.07E-004,1.58E-004,2.73E-005,8.235354832E-007,2.480863646E-008,7.473490282E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.96E+000,7.70E+001,3.06E-002,5.35E-003,9.35E-004,1.64E-004,2.86E-005,8.747570905E-007,2.675218994E-008,8.181467454E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.99E+000,6.98E+002,1.87E-014,2.56E-021,3.50E-028,4.79E-035,6.56E-042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.07E+000,6.69E+002,6.91E-014,1.82E-020,4.78E-027,1.26E-033,3.31E-040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.30E+000,5.91E+002,2.35E-012,3.61E-018,5.54E-024,8.49E-030,1.30E-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.66E+000,4.96E+002,1.72E-010,2.26E-015,2.97E-020,3.90E-025,5.11E-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.05E+000,4.19E+002,5.84E-009,4.47E-013,3.41E-017,2.61E-021,1.99E-025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.47E+000,3.53E+002,1.12E-007,3.76E-011,1.26E-014,4.22E-018,1.41E-021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+000,2.96E+002,1.48E-006,1.80E-009,2.20E-012,2.68E-015,3.26E-018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.39E+000,2.48E+002,1.31E-005,4.73E-008,1.71E-010,6.19E-013,2.24E-015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.90E+000,2.08E+002,8.16E-005,7.37E-007,6.66E-009,6.01E-011,5.43E-013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.45E+000,1.74E+002,3.78E-004,7.36E-006,1.43E-007,2.79E-009,5.42E-011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.03E+000,1.45E+002,1.38E-003,5.11E-005,1.90E-006,7.03E-008,2.61E-009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.65E+000,1.21E+002,4.13E-003,2.66E-004,1.71E-005,1.10E-006,7.05E-008,2.914933277E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03E+001,1.01E+002,1.05E-002,1.08E-003,1.10E-004,1.13E-005,1.16E-006,1.213820404E-008,1.274069273E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10E+001,8.32E+001,2.30E-002,3.49E-003,5.30E-004,8.04E-005,1.22E-005,2.810540605E-007,6.471237366E-009,1.489994949E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18E+001,6.89E+001,4.41E-002,9.27E-003,1.95E-003,4.09E-004,8.59E-005,3.788301471E-006,1.67130482E-007,7.373383096E-009,3.252954076E-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26E+001,5.70E+001,7.55E-002,2.08E-002,5.70E-003,1.57E-003,4.31E-004,3.252590855E-005,2.456330471E-006,1.855001029E-007,0.000000014,1.057934727E-009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35E+001,4.72E+001,1.18E-001,4.04E-002,1.39E-002,4.76E-003,1.63E-003,0.0001923365,2.2650469E-005,2.667427588E-006,3.141290337E-007,0.000000037,4.356512435E-009,5.130437458E-010,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44E+001,3.91E+001,1.70E-001,7.01E-002,2.89E-002,1.19E-002,4.92E-003,0.0008362769,0.0001422124,2.418383314E-005,4.112563916E-006,6.99359025E-007,1.189289834E-007,2.02243806E-008,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54E+001,3.24E+001,2.30E-001,1.11E-001,5.31E-002,2.55E-002,1.22E-002,0.0028193684,0.0006496655,0.000149702,3.449575793E-005,7.948838028E-006,1.83164626E-006,4.220652137E-007,2.742011924E-010,0,0,0,0,0,0,0,0,0,0,0,0
1.65E+001,2.69E+001,2.96E-001,1.61E-001,8.78E-002,4.78E-002,2.60E-002,0.0077045455,0.0022826209,0.0006762706,0.0002003583,0.00005936,1.75865562E-005,5.210357951E-006,1.18932717E-008,0,0,0,0,0,0,0,0,0,0,0,0
1.76E+001,2.23E+001,3.65E-001,2.20E-001,1.33E-001,8.03E-002,4.85E-002,0.017699183,0.006455673,0.0023546688,0.0008588516,0.0003132611,0.0001142601,4.167571387E-005,0.000000269,1.736865127E-009,0,0,0,0,0,0,0,0,0,0,0
1.88E+001,1.85E+001,4.33E-001,2.85E-001,1.88E-001,1.24E-001,8.13E-002,0.0352108291,0.0152526503,0.0066071532,0.002862091,0.0012398025,0.0005370585,0.0002326433,3.548427537E-006,5.412292438E-008,8.255180395E-010,0,0,0,0,0,0,0,0,0,0
2.01E+001,1.53E+001,4.99E-001,3.53E-001,2.49E-001,1.76E-001,1.25E-001,0.0622317475,0.0310824322,0.0155245133,0.0077539142,0.0038727904,0.0019343141,0.0009661176,3.002928457E-005,9.333832022E-007,0.000000029,9.01757932E-010,0,0,0,0,0,0,0,0,0
2.15E+001,1.27E+001,5.62E-001,4.21E-001,3.16E-001,2.37E-001,1.77E-001,0.0996820159,0.056010702,0.0314720635,0.0176839558,0.0099365043,0.0055832597,0.0031371987,0.0001757167,0.000009842,5.512582193E-007,3.087635983E-008,1.729406588E-009,0,0,0,0,0,0,0,0
2.30E+001,1.05E+001,6.21E-001,4.90E-001,3.86E-001,3.04E-001,2.40E-001,0.1489641509,0.0925448396,0.0574940164,0.0357184899,0.0221903183,0.0137858634,0.0085645473,0.0007926047,7.335147093E-005,6.788300108E-006,6.282221443E-007,5.813871755E-008,5.380438288E-009,4.97931798E-010,0,0,0,0,0,0
2.46E+001,8.68E+000,6.75E-001,5.54E-001,4.55E-001,3.74E-001,3.07E-001,0.2073060822,0.1398830378,0.0943882787,0.0636899748,0.0429758117,0.0289986045,0.0195672643,0.0027371284,0.0003828778,5.355811403E-005,7.491871688E-006,0.000001048,1.465954331E-007,2.050621451E-008,2.868471579E-009,0,0,0,0,0
