E (keV),a (cm^2/g),rho (g/cm^3),P(xi) (d=100 um),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=500 um),P(xi) (d=1000 um)
2.0036,3769.8,19.3,0,1.0465E-316,0,0,0,0,0.00E+00,0.00E+00
2.0136,3724.2,19.3,0,6.9486E-313,0,0,0,0,0.00E+00,0.00E+00
2.0236,3679.2,19.3,0,0.00E+00,0,0,0,0,0.00E+00,0.00E+00
2.0338,3634.7,19.3,0,2.21E-305,0,0,0,0,0.00E+00,0.00E+00
2.0439,3590.8,19.3,0,1.06E-301,0,0,0,0,0.00E+00,0.00E+00
2.0542,3547.4,19.3,0,4.58E-298,0,0,0,0,0.00E+00,0.00E+00
2.0644,3504.5,19.3,0,1.81E-294,0,0,0,0,0.00E+00,0.00E+00
2.0747,3462.2,19.3,0,6.35E-291,0,0,0,0,0.00E+00,0.00E+00
2.0851,3420.3,19.3,0,2.06E-287,0,0,0,0,0.00E+00,0.00E+00
2.0955,3379.1,19.3,0,5.86E-284,0,0,0,0,0.00E+00,0.00E+00
2.106,3338.3,19.3,0,1.54E-280,0,0,0,0,0.00E+00,0.00E+00
2.1166,3298,19.3,0,3.68E-277,0,0,0,0,0.00E+00,0.00E+00
2.1271,3258.2,19.3,0,7.97E-274,0,0,0,0,0.00E+00,0.00E+00
2.1378,3218.9,19.3,0,1.57E-270,0,0,0,0,0.00E+00,0.00E+00
2.1485,3180.1,19.3,0,2.80E-267,0,0,0,0,0.00E+00,0.00E+00
2.1592,3141.8,19.3,0,4.55E-264,0,0,0,0,0.00E+00,0.00E+00
2.17,3103.9,19.3,0,6.83E-261,0,0,0,0,0.00E+00,0.00E+00
2.1809,3066.5,19.3,0,9.32E-258,0,0,0,0,0.00E+00,0.00E+00
2.1918,3029.6,19.3,0,1.15E-254,0,0,0,0,0.00E+00,0.00E+00
2.2027,2993.1,19.3,0,1.32E-251,0,0,0,0,0.00E+00,0.00E+00
2.2137,2957.1,19.3,0,1.38E-248,0,0,0,0,0.00E+00,0.00E+00
2.2248,2921.5,19.3,0,1.33E-245,0,0,0,0,0.00E+00,0.00E+00
2.2359,2886.3,19.3,0,1.18E-242,0,0,0,0,0.00E+00,0.00E+00
2.2471,2851.6,19.3,0,9.60E-240,0,0,0,0,0.00E+00,0.00E+00
2.2583,2817.3,19.3,0,7.20E-237,0,0,0,0,0.00E+00,0.00E+00
2.2696,2783.4,19.3,0,5.00E-234,0,0,0,0,0.00E+00,0.00E+00
2.2787,2756.8,19.3,0,8.48E-232,0,0,0,0,0.00E+00,0.00E+00
2.281,2750,19.3,0,3.15E-231,0,0,0,0,0.00E+00,0.00E+00
2.2833,3227.1,19.3,0,3.22E-271,0,0,0,0,0.00E+00,0.00E+00
2.2924,3194.6,19.3,0,1.71E-268,0,0,0,0,0.00E+00,0.00E+00
2.3038,3153.9,19.3,0,4.40E-265,0,0,0,0,0.00E+00,0.00E+00
2.3154,3113.8,19.3,0,1.01E-261,0,0,0,0,0.00E+00,0.00E+00
2.3269,3074.2,19.3,0,2.11E-258,0,0,0,0,0.00E+00,0.00E+00
2.3386,3035.1,19.3,0,3.99E-255,0,0,0,0,0.00E+00,0.00E+00
2.3503,2996.5,19.3,0,6.87E-252,0,0,0,0,0.00E+00,0.00E+00
2.362,2957.9,19.3,0,1.18E-248,0,0,0,0,0.00E+00,0.00E+00
2.3738,2919.6,19.3,0,1.92E-245,0,0,0,0,0.00E+00,0.00E+00
2.3857,2881.7,19.3,0,2.88E-242,0,0,0,0,0.00E+00,0.00E+00
2.3976,2845.2,19.3,0,3.30E-239,0,0,0,0,0.00E+00,0.00E+00
2.4096,2810.7,19.3,0,2.57E-236,0,0,0,0,0.00E+00,0.00E+00
2.4217,2776.8,19.3,0,1.79E-233,0,0,0,0,0.00E+00,0.00E+00
2.4338,2743.3,19.3,0,1.15E-230,0,0,0,0,0.00E+00,0.00E+00
2.4459,2710,19.3,0,7.10E-228,0,0,0,0,0.00E+00,0.00E+00
2.4582,2677.2,19.3,0,3.98E-225,0,0,0,0,0.00E+00,0.00E+00
2.4705,2644.9,19.3,0,2.03E-222,0,0,0,0,0.00E+00,0.00E+00
2.4828,2613,19.3,0,9.58E-220,0,0,0,0,0.00E+00,0.00E+00
2.4952,2581.7,19.3,0,4.03E-217,0,0,0,0,0.00E+00,0.00E+00
2.5077,2550.8,19.3,0,1.57E-214,1.9600E-321,0,0,0,0.00E+00,0.00E+00
2.5202,2520.3,19.3,0,5.64E-212,1.3399E-317,0,0,0,0.00E+00,0.00E+00
2.5328,2490.3,19.3,0,1.84E-209,7.9238E-314,0,0,0,0.00E+00,0.00E+00
2.5455,2460.7,19.3,0,5.58E-207,4.1734E-310,0,0,0,0.00E+00,0.00E+00
2.5582,2431.6,19.3,0,1.54E-204,1.90E-306,0,0,0,0.00E+00,0.00E+00
2.571,2402.8,19.3,0,3.98E-202,7.95E-303,0,0,0,0.00E+00,0.00E+00
2.5717,2401.4,19.3,0,5.22E-202,1.19E-302,0,0,0,0.00E+00,0.00E+00
2.5781,2555.1,19.3,0,6.83E-215,5.6300E-322,0,0,0,0.00E+00,0.00E+00
2.5839,2541.1,19.3,0,1.02E-213,3.2505E-320,0,0,0,0.00E+00,0.00E+00
2.5968,2510,19.3,0,4.12E-211,2.6429E-316,0,0,0,0.00E+00,0.00E+00
2.6098,2479.3,19.3,0,1.54E-208,1.9140E-312,0,0,0,0.00E+00,0.00E+00
2.6228,2449.1,19.3,0,5.24E-206,0.00E+00,0,0,0,0.00E+00,0.00E+00
2.6359,2419.3,19.3,0,1.65E-203,6.69E-305,0,0,0,0.00E+00,0.00E+00
2.6491,2389.9,19.3,0,4.80E-201,3.33E-301,0,0,0,0.00E+00,0.00E+00
2.6624,2360.9,19.3,0,1.29E-198,1.47E-297,0,0,0,0.00E+00,0.00E+00
2.6757,2332.2,19.3,0,3.29E-196,5.98E-294,0,0,0,0.00E+00,0.00E+00
2.6891,2303.9,19.3,0,7.76E-194,2.16E-290,0,0,0,0.00E+00,0.00E+00
2.7025,2276.1,19.3,0,1.66E-191,6.76E-287,0,0,0,0.00E+00,0.00E+00
2.716,2249.8,19.3,0,2.66E-189,1.37E-283,0,0,0,0.00E+00,0.00E+00
2.7296,2223.9,19.3,0,3.94E-187,2.47E-280,0,0,0,0.00E+00,0.00E+00
